"model","measure","k","estimate_log","estimate_exp","se","ci_lb","ci_ub","tau2","QE","QEp","error","in_app_estimate_exp","abs_diff","rel_diff_pct"
"CM.AL","OR",2,-0.116117945867128,0.890370201618663,0.0648260870094597,0.784134480834984,1.01099889790115,0,NA,NA,NA,0.881680988902874,0.00868921271578826,0.985527965914377
"CM.EL","OR",2,NA,NA,NA,NA,NA,NA,NA,NA,"Please install the 'BiasedUrn' package to fit this model.",0.881811737728424,NA,NA
"UM.FS","OR",2,-0.125924900060917,0.881681058490921,0.0675023103780826,0.772419874997951,1.00639757476946,0,NA,NA,NA,0.88168194537016,8.86879239270222e-07,0.000100589474915229
"UM.RS","OR",2,-0.125934175879722,0.881672880215108,0.0675021325092999,0.77241297948017,1.00638788880782,0,NA,NA,NA,0.881922411548206,0.000249531333097353,0.0282940233551048
