"model","measure","k","estimate_log","estimate_exp","se","ci_lb","ci_ub","tau2","QE","QEp","error"
"UM.FS","OR",2,-0.125924900060917,0.881681058490921,0.0675023103780826,0.772419874997951,1.00639757476946,0,NA,NA,NA
"UM.RS","OR",2,-0.125934175879722,0.881672880215108,0.0675021325092999,0.77241297948017,1.00638788880782,0,NA,NA,NA
"CM.EL","OR",2,NA,NA,NA,NA,NA,NA,NA,NA,"Please install the 'BiasedUrn' package to fit this model."
"CM.AL","OR",2,-0.116117945867128,0.890370201618663,0.0648260870094597,0.784134480834984,1.01099889790115,0,NA,NA,NA
